img id,caption,category
2557129157,Blond boy in striped shirt on the swing set .,843
2312746782,A girl stands behind a boy in a swing .,843
416568642,A little girl in jeans and a blue shirt sits on a swing .,843
3056530884,Two laughing girls swing in a tire swing .,843
5379229830,"A woman wearing glasses is sitting on a swing , in a playground with a lot of trees .",843
2451346427,a young man is holding himself up by rings,843
2884252132,A girl swinging,843
136644343,A small boy in a horizontal tire swing .,843
3656225270,A girl in red rides on her stomach in a playground swing above a sandy surface .,843
2362481035,The small child is leaning back in a child swing .,843
1561658940,Girl wearing pink pants smiles in baby swing,843
416840980,A young girl in blue in a swinging outside with her eyes closed and hands off the swing 's chains .,843
2629334536,The little kid is swinging in the backyard .,843
4766583860,"An infant girl in pigtails , wearing a red shirt and pink shoes , is sitting in a swing seat at a park .",843
155215518,Young female child swinging in a swing with a sippy cup .,843
4610444848,A wedding party poses for pictures on a swing set .,843
2694680366,two girls swinging together .,843
1335519498,A toddler girl swings in a yellow child 's swing .,843
7444421214,A child having a pleasant time in a swing,843
3504940491,There is a little girl riding a carnival ride .,843
3821555355,"adorable little girl with her hair pulled up , sitting in a baby swing with greenery in the background .",843
556568556,a young girl swings on a swing .,843
125635185,"Three children are playing outdoors , two of them on a metal barrel swing .",843
597543181,a young child swinging on a green swing .,843
2924689361,"A young woman pushing a child on a swing , with two other children at a playground .",843
2726180005,A very happy baby in a yellow shirt swinging on swing .,843
2381613738,A blond boy in a brown jacket sits on a tire swing .,843
1682079482,A toddler in a pink shirt in a bucket swing .,843
2618322793,a boy swinging on a swing .,843
2837740149,Two toddlers are sharing a swing .,843
449287870,A very young girl is walking on a playground .,843
5646792433,"Two children , one in a yellow shirt and the other in red rain boots , swing on the swings at a playground .",843
1473618073,A boy on a green plastic swing .,843
618735339,A little girl on a swing .,843
2855417531,A child on a swing-type ride .,843
3638688673,A boy swings on a swing set .,843
4637942232,Families are playing at the park on tire swings .,843
3399284917,A young woman watches as a young blond boy swings in a chair swing with buildings visible in the background .,843
4534608071,Two kids standing on a circular swing .,843
1463732807,A young boy makes a meditational pose on a swing .,843
832128857,A red-haired little boy smiles while swinging .,843
2483783092,"A small boy , who is sitting in a baby swing is playing with a cat , sitting on the branch over his head .",843
2731813962,"Five young children are seated on a wooden staircase , surrounded by forest flora .",843
