img id,caption,category
http://images.cocodataset.org/val2017/000000254368.jpg,A black and white picture of a man eating in his bed. ,furniture
http://images.cocodataset.org/val2017/000000117914.jpg,The interior layout of an average clean bathroom.,furniture
http://images.cocodataset.org/val2017/000000257084.jpg,A person on a skateboard is balancing  on the edge of a ramp,furniture
http://images.cocodataset.org/val2017/000000177015.jpg,A cat sitting on the man's lap while the man types on the laptop. ,furniture
http://images.cocodataset.org/val2017/000000371529.jpg,A woman standing next to and touching a toilet.,furniture
http://images.cocodataset.org/val2017/000000356531.jpg,A woman sitting in a restaurant with Mexican food on her plate ,furniture
http://images.cocodataset.org/val2017/000000394328.jpg,A sign is seen posted above a toilet.,furniture
http://images.cocodataset.org/val2017/000000182202.jpg,A vodafone sitting on a table next to a Mac laptop.,furniture
http://images.cocodataset.org/val2017/000000345385.jpg,A man snuggled up to another man under the covers in a bed.,furniture
http://images.cocodataset.org/val2017/000000052413.jpg,A photo of someone holding a fake pink cell phone.,furniture
http://images.cocodataset.org/val2017/000000226147.jpg,A woman taking a photo of her food with a cell phone.,furniture
http://images.cocodataset.org/val2017/000000338219.jpg,A couple of motorcycles parked next to each other.,furniture
http://images.cocodataset.org/val2017/000000338624.jpg,a man is walking his dog through the city,furniture
http://images.cocodataset.org/val2017/000000111609.jpg,A man asleep in his bed next to his open laptop.,furniture
http://images.cocodataset.org/val2017/000000554266.jpg,a bunch of stuff in a home living room,furniture
http://images.cocodataset.org/val2017/000000138819.jpg,The view of a bathroom with a wall mounted sink.,furniture
http://images.cocodataset.org/val2017/000000450488.jpg,Small bedroom with a bed and dresser with a small monitor on top of it. ,furniture
http://images.cocodataset.org/val2017/000000494913.jpg,A man watches TV from his couch in a living room,furniture
http://images.cocodataset.org/val2017/000000360564.jpg,This bathroom has a pattern of blue tiles on the floor,furniture
http://images.cocodataset.org/val2017/000000224807.jpg,People sitting down in the restaurant eating meals,furniture
http://images.cocodataset.org/val2017/000000089761.jpg,A white toilet bowl with no tank near a tree,furniture
http://images.cocodataset.org/val2017/000000255401.jpg,This bathroom seems to be very dirty and old,furniture
http://images.cocodataset.org/val2017/000000419653.jpg,Many containers of food are covered up on the table. ,furniture
http://images.cocodataset.org/val2017/000000058029.jpg,Interior bathroom shot of a glass shower and white sink fixtures.,furniture
http://images.cocodataset.org/val2017/000000367095.jpg,Adults working in open office setting at desks.,furniture
http://images.cocodataset.org/val2017/000000555012.jpg,The roll of toilet paper beside the toilet is empty. ,furniture
http://images.cocodataset.org/val2017/000000450202.jpg,A plate of meats and cheese's next to three wine glasses.,furniture
http://images.cocodataset.org/val2017/000000375430.jpg,some pancakes are stacked up on a plate,furniture
http://images.cocodataset.org/val2017/000000206411.jpg,A person sprays the inside of a toilet.,furniture
http://images.cocodataset.org/val2017/000000454404.jpg,A woman wearing a blue t-shirt while looking at her cell phone and sitting on a bench next to a bright pink wall.,furniture
http://images.cocodataset.org/val2017/000000238410.jpg,A group of people gathered around a table outdoors having a meeting.,furniture
http://images.cocodataset.org/val2017/000000388846.jpg,A large sandy beach with umbrellas and chairs.,furniture
http://images.cocodataset.org/val2017/000000578871.jpg,A little girl holding a cup with food in dishes in front of her ,furniture
http://images.cocodataset.org/val2017/000000482100.jpg,there is two toilet bowls outside one is blue ,furniture
http://images.cocodataset.org/val2017/000000348045.jpg,A view of a bunch of urinals with stickers above them.,furniture
http://images.cocodataset.org/val2017/000000293245.jpg,A Yamaha motorcycle parked outside of a building.,furniture
http://images.cocodataset.org/val2017/000000114049.jpg,People with luggage on an airport transfer bus.,furniture
http://images.cocodataset.org/val2017/000000193494.jpg,A bed in a ten with a colorful ceiling.,furniture
http://images.cocodataset.org/val2017/000000222735.jpg,A remote control on a table for the television. ,furniture
http://images.cocodataset.org/val2017/000000453634.jpg,A fancy bathroom with a clean toilet and piping.,furniture
http://images.cocodataset.org/val2017/000000407614.jpg,The kitchen is coral with wooden cabinets and colorful decorations.,furniture
http://images.cocodataset.org/val2017/000000019786.jpg,One person standing and another bending over in the foreground.,furniture
http://images.cocodataset.org/val2017/000000160864.jpg,Baseball team holding batting practice on the field,furniture
http://images.cocodataset.org/val2017/000000151938.jpg,A long wooden table with a woman sitting under an umbrella.,furniture
http://images.cocodataset.org/val2017/000000055002.jpg,A metallic toilet sitting in a small bathroom.,furniture
http://images.cocodataset.org/val2017/000000397354.jpg,A family of all ages gather together in a kitchen.,furniture
http://images.cocodataset.org/val2017/000000325483.jpg,Two men standing in a room and holding Wii video game controllers.,furniture
http://images.cocodataset.org/val2017/000000289741.jpg,A giant cruise ship next to another giant cruise ship next to a long pier.,furniture
http://images.cocodataset.org/val2017/000000530146.jpg,A plate filled with various kinds of food.,furniture
http://images.cocodataset.org/val2017/000000352584.jpg,an odd looking toilet is against a wall,furniture
http://images.cocodataset.org/val2017/000000366178.jpg,A red fire hydrant sitting on the side of a road.,outdoor
http://images.cocodataset.org/val2017/000000571008.jpg,some road signs showing the instructions on the road,outdoor
http://images.cocodataset.org/val2017/000000057149.jpg,A school bus and a silver car waiting at a railroad crossing for a train to go past.,outdoor
http://images.cocodataset.org/val2017/000000244019.jpg,A rusty fire hydrant is red white and blue.,outdoor
http://images.cocodataset.org/val2017/000000534639.jpg,A public transit train at one of its stations.,outdoor
http://images.cocodataset.org/val2017/000000026926.jpg,This is an image of an outside district. ,outdoor
http://images.cocodataset.org/val2017/000000491470.jpg,The road in the city is quiet and empty. ,outdoor
http://images.cocodataset.org/val2017/000000372203.jpg,"A bench, a fire hydrant, and a street light are in the desert.",outdoor
http://images.cocodataset.org/val2017/000000155443.jpg,A train is coming up to a passenger loading area.,outdoor
http://images.cocodataset.org/val2017/000000354753.jpg,An intersection with red light at night time.  ,outdoor
http://images.cocodataset.org/val2017/000000034071.jpg,The photo of the double parking meter has a blurry city in the background.,outdoor
http://images.cocodataset.org/val2017/000000472030.jpg,A lot of different size trees in the woods.,outdoor
http://images.cocodataset.org/val2017/000000323571.jpg,A street sign is shown across from a street with has cars and a traffic light. ,outdoor
http://images.cocodataset.org/val2017/000000522751.jpg,a traffic light attached to a pole with a sky in the background,outdoor
http://images.cocodataset.org/val2017/000000255718.jpg,A close up of a rusty fire hydrant.,outdoor
http://images.cocodataset.org/val2017/000000109441.jpg,A large office building has shining mirrored windows.,outdoor
http://images.cocodataset.org/val2017/000000537355.jpg,A red fire hydrant with a building in the background.,outdoor
http://images.cocodataset.org/val2017/000000239843.jpg,Two street signs on top of a stop sign.,outdoor
