coco_url,caption,class,super_categories
http://images.cocodataset.org/val2017/000000000139.jpg,A person standing at a table in a room.,0,"electronic, indoor, appliance, person, furniture"
http://images.cocodataset.org/val2017/000000000285.jpg,A close up picture of a brown bear's face.,1,animal
http://images.cocodataset.org/val2017/000000000632.jpg,A bedroom with a bookshelf full of books.,2,"furniture, indoor"
http://images.cocodataset.org/val2017/000000000724.jpg,An upside down stop sign by the road.,3,"vehicle, outdoor"
http://images.cocodataset.org/val2017/000000000776.jpg,A group of three stuffed animal teddy bears.,2,"furniture, indoor"
http://images.cocodataset.org/val2017/000000000785.jpg,a person on skis makes her way through the snow,4,"sports, person"
http://images.cocodataset.org/val2017/000000000802.jpg,Kitchen appliances and cabinets as seen through opening.,5,appliance
http://images.cocodataset.org/val2017/000000000872.jpg,Two men playing baseball in a field on a sunny day.,4,"sports, person"
http://images.cocodataset.org/val2017/000000000885.jpg,a male tennis player in white shorts is playing tennis,4,"sports, person"
http://images.cocodataset.org/val2017/000000001000.jpg,The people are posing for a group photo.,6,"sports, accessory, person"
http://images.cocodataset.org/val2017/000000001268.jpg,People underneath an arched bridge near the water.,7,"electronic, animal, vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000001296.jpg,The Asian girl is holding her Miss Kitty phone,8,"electronic, person, indoor"
http://images.cocodataset.org/val2017/000000001353.jpg,Several children on a small  indoor kiddie train.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000001425.jpg,A meal is lying on a plate on a table.,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000001490.jpg,A man with a wet suit on standing on a surfboard in the water.,4,"sports, person"
http://images.cocodataset.org/val2017/000000001503.jpg,Two apple computers are on a white desk,11,electronic
http://images.cocodataset.org/val2017/000000001532.jpg,A street scene with focus on the street signs on an overpass.,12,vehicle
http://images.cocodataset.org/val2017/000000001584.jpg,A red bus is driving on the road.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000001675.jpg,The large cat is resting comfortably behind the laptop screen. ,13,"electronic, animal"
http://images.cocodataset.org/val2017/000000001761.jpg,Two planes flying in the sky over a bridge.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000001818.jpg,A baby giraffe drinking milk from it's mother in a field.,1,animal
http://images.cocodataset.org/val2017/000000001993.jpg,"A room with purple walls, carpet and bed comforter.",14,furniture
http://images.cocodataset.org/val2017/000000002006.jpg,City bus driving through pedestrian saturated area near crosswalk.,15,"vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000002149.jpg,A white bowl of green granny smith apples.,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000002153.jpg,A baseball player with a bat in his hand as the pitcher gets ready to throw the ball. ,4,"sports, person"
http://images.cocodataset.org/val2017/000000002157.jpg,A nicely set dining table filled with food and a cake topped with berries.,16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000002261.jpg,A boy riding a boogie board in the ocean waves.,4,"sports, person"
http://images.cocodataset.org/val2017/000000002299.jpg,A black and white photo of a group of kids.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000002431.jpg,A tray of food on the top of a table.,18,"kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000002473.jpg,A skier is jumping while other skiers watch.,4,"sports, person"
http://images.cocodataset.org/val2017/000000002532.jpg,A person on skis and with poles in the snow and facing the blue sky.,4,"sports, person"
http://images.cocodataset.org/val2017/000000002587.jpg,Closeup of a bag containing a banana and a doughnut.,19,food
http://images.cocodataset.org/val2017/000000002592.jpg,There is a white coffee cup with a skull and bones on it next to a knife,20,"kitchen, furniture"
http://images.cocodataset.org/val2017/000000002685.jpg,Many people line up to taste some wine. ,21,"kitchen, accessory, person"
http://images.cocodataset.org/val2017/000000002923.jpg,ships in the distance behind a grassy marsh with egrets,22,"vehicle, animal"
http://images.cocodataset.org/val2017/000000003156.jpg,A man fixing a toilet in a black and white photo.,23,"appliance, person, furniture"
http://images.cocodataset.org/val2017/000000003255.jpg,The paths of some snowboarders carved in a mountain slope.,24,"accessory, sports, person"
http://images.cocodataset.org/val2017/000000003501.jpg,"A bean and corn mixture, rice, and broccoli on a plate",10,"kitchen, food"
http://images.cocodataset.org/val2017/000000003553.jpg,A person wearing sneakers balancing on a skateboard on a wooden platform.,4,"sports, person"
http://images.cocodataset.org/val2017/000000003661.jpg,A closeup of a group of bananas on a table ,25,"electronic, kitchen, food"
http://images.cocodataset.org/val2017/000000003845.jpg,"A plate of vegetables, chicken, and white rice.",16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000003934.jpg,A little girl holding a white Nintendo Wii game controller.,26,"electronic, kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000004134.jpg,Two men are shaking hands at a social gathering.,27,"kitchen, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000004395.jpg,A man in a shirt and tie motioning with his hand.,17,"accessory, person"
