img id,caption,category
272008,A sheep scratches his back up against a wooden structure.,tup
219127,Four sheep eating while standing on some hay. ,tup
114616,Two sheep sitting down together in a fenced in area that has sawdust and hay on the ground.,tup
45496,Two sheep standing on a dirt field surrounded by trees.,tup
241461,A sheep standing in the middle of a grass field.,tup
275817,A couple of sheep walking around in the grass.,tup
46418,A bunch of sheep roaming in an open field.,tup
52563,a close up of three sheep in a field with trees in the background,tup
219099,A large white sheep is staring at the camera. ,tup
66561,A large white sheep laying next to a baby sheep.,tup
391825,Several sheep standing and grazing in a field. ,tup
569500,A goat leaning over a fence towards the camera.,tup
558101,A herd of sheep walking through a grass covered field.,tup
547383,two sheep laying in a field of grass,tup
253615,A large herd of sheep in a huge pasture.,tup
484062,Several sheep bunch together in the grass as a black dog approaches them. ,tup
367967,A flock of sheep moves within the confines of their fenced area.,tup
370609,A female sheep with her two young lambs.,tup
306711,The sheep are running fast down the city street.,tup
442149,A shaggy haired sheep standing in a field of grass.,tup
131197,A woman bending down to pat and kiss a sheep in a pen,tup
550094,A sheep reaching over some rocks to get something in the grass,tup
504259,Two sheep are hanging around on the grass,tup
578595,A Goat next to a fence in the cold.,tup
413880,A sheep is in a straw filled pen.,tup
293598,Sheep in grassy field grazing while shepherd watches from hilltop.,tup
434263,A group of sheep standing next to each  other.,tup
187351,a woolly sheep kneeling in a green pasture.,tup
319866,Sheep grazing on fresh grass in a field,tup
447711,"A mother sheep, standing in the grass, nursing her baby.",tup
157170,Horned sheep high on a mountain with the city below,tup
167342,A sheep stands near another sheep laying under a tree.,tup
555738,A couple of sheep walking through the grassy field.,tup
281323,Some very cute fluffy sheep grazing grass on a  hill.,tup
197225,A sheep and its baby are in the large field,tup
46760,a couple of goats are standing in a field,tup
310082,A sheep leaning against a white wooden fence.,tup
238748,"Five sheep on a hill eating grass, overlooking the ocean.",tup
392408,A bunch of sheep together in a very narrow area.,tup
237256,The sheep are gathered under the picturesque tree.,tup
140915,A flock of sheep grazing inside a fenced area.,tup
546980,A white sheep grazing in the grass on a hill.,tup
434089,A ram sheep feeding from a wooden trough. ,tup
