451714,A man riding skis on top of  a snow covered hill.,795,ski
364201,A blue train traveling down tracks next to a building.,547,electric locomotive
407056,A pizza with purple cabbage topping on a table next to white bowl.,963,"pizza, pizza pie"
429293,This is a closeup of a hot dog with pickle and tomato and fries.,934,"hotdog, hot dog, red hot"
127510,A baseball player putting out his glove to catch the ball.,981,"ballplayer, baseball player"
205679,A couple of motorcycles parked on top of a lawn.,665,moped
27417,"A woman in a colorful outfit is surrounded by yellow, green and orange feathers.",552,"feather boa, boa"
279649,A passenger jet is moving down the runway.,404,airliner
333485,A bathroom with a phone and two rolls of toilet paper.,999,"toilet tissue, toilet paper, bathroom tissue"
500478,A man in white baseball uniform throwing a ball.,981,"ballplayer, baseball player"
69197,One person standing and one person laying in snow,795,ski
545124,An airport tarmac with a lot of different jetliners on top of it.,404,airliner
326569,a close up of a young baseball player,981,"ballplayer, baseball player"
234653,Two little  zebras behind a fence with trees.,340,zebra
394790,A group of young men setting off on a day of skiing,795,ski
492156,A street with stop and go lights in the rain.,920,"traffic light, traffic signal, stoplight"
101240,Three sheep relax along a trail in the wild.,348,"ram, tup"
405334,"A closeup of a deep dish pizza in a restaurant,",963,"pizza, pizza pie"
137202,A woman holding an umbrella and wearing a vest.,879,umbrella
52644,A close up of a parking meter in an empty parking lot.,704,parking meter
16169,A sepia-toned photo of a man holding a homemade kite.,869,trench coat
330298,Small dog wearing pet clothing near adult in open field.,195,"Boston bull, Boston terrier"
472521,A table with a bowl filled to overflowing with oranges.,950,orange
393922,A road sign signaling that France is around the corner. ,919,street sign
437908,A boardwalk scene with focus on several benches.,703,park bench
335415,Large parasol made from native plants at ocean beach.,853,"thatch, thatched roof"
225113,A man an a child wearing ski's in the snow.,795,ski
576496,A an orange with a green sticker sitting among a pile of oranges.,950,orange
389589,A man jumps in the air while swinging his racket. ,752,"racket, racquet"
371317,Two tennis players are playing against each in a tennis match.,752,"racket, racquet"
342260,Two racing skiers each have numbers on their chests. ,795,ski
14269,a person in skies is standing in the snow,795,ski
154650,three  stuffed bears one is black and white and another is blue and white and the other is brown ,850,"teddy, teddy bear"
141600,A filthy bathroom with carpeted floor and a black seat on the toilet.,861,toilet seat
513188,A tennis player leaps up to return the ball.,752,"racket, racquet"
400612,A bunch of unripe bananas hanging from a tree.,954,banana
383001,The umbrella has panels that are alternatively clear and black with an image of Marilyn Monroe.,879,umbrella
146933,A large stuffed animal wearing a sweater and sweat pants.,850,"teddy, teddy bear"
317036,An old Chevy truck is parked on the side of a road.,717,"pickup, pickup truck"
317274,A large group of elephants gather near a small watering hole,386,"African elephant, Loxodonta africana"
301273,A little boy points to a dog wearing a birthday hat.,178,Weimaraner
470454,A green bus driving filled with passengers on a narrow road.,654,minibus
179479,A man working on a remote control hobby airplane at a park.,908,wing
9465,An old photo showing a horse and carraige.,603,"horse cart, horse-cart"
299732,Two very different teddy bears sitting against a wall side by side.,850,"teddy, teddy bear"
229131,a number of stuffed animals sitting near each other,850,"teddy, teddy bear"
516244,A variety of healthy fruits placed on a table.,954,banana
459400,A person lying down by an open toilet! ,861,toilet seat
541613,A man and woman sharing a kiss on a ski lift.,795,ski
402891,A person in black jacket on skis next to a tree.,795,ski
74951,A group of small kids playing soccer on  a field.,805,soccer ball
66266,A Rugby player kicks the ball during a game,805,soccer ball
514340,A pair of tennis players playing a game on a court.,752,"racket, racquet"
528181,A couch is looking quite dark with the blinds down. ,905,window shade
466671,The tiny bird is flying next to the flower.,94,hummingbird
432419,A woman walking on a rocky river bank with a black umbrella.,879,umbrella
114822,A woman wearing skis poses for the camera.,795,ski
68344,A cake with chocolate ganache is ready to be cut.,960,"chocolate sauce, chocolate syrup"
426073,Two birds are perched on branches of a tree.,11,"goldfinch, Carduelis carduelis"
333749,Two people play against each other in a tennis match.,752,"racket, racquet"
455108,A person jumping in the air on a snowboard.,795,ski
346867,A beige sofa with brown cushions and a wooden coffee table in a livingr room.,831,"studio couch, day bed"
106033,a broken street light with a pair of goggles ,920,"traffic light, traffic signal, stoplight"
557258,Bob the builder sicker on bottom of toilet lid in bathroom,861,toilet seat
171321,A young man holding a red tennis racquet.,752,"racket, racquet"
5412,A very unique bathroom that is very clean.,896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
206397,Three sheep with long coats standing on a path. ,348,"ram, tup"
80671,someone that has some skiies on in the snow,795,ski
529871,A bench that is in a forested area.,703,park bench
475613,A homemade pizza that looks delicious has a variety of toppings. ,963,"pizza, pizza pie"
274334,A baseball player in grey stands at home plate.,981,"ballplayer, baseball player"
267008,A dalmatian dog picking up a Frisbee on the grass.,251,"dalmatian, coach dog, carriage dog"
392781,A man is skiing down hill in the snow. ,795,ski
443742,big supreme pizza sitting on a pizza board ,963,"pizza, pizza pie"
529454,A group of people gathered in a living room playing Wii.,523,crutch
419037,A couple of men playing soccer against each other.,805,soccer ball
502253,The large pizza has mushrooms and pepperoni on it.,963,"pizza, pizza pie"
268577,A row of parking meters sitting next to each other near a street.,704,parking meter
145335,This snowboarder keeps himself upright with his hand touching the ground.,795,ski
148067,"meatballs, onions and broccoli on a plate ",937,broccoli
28186,A pizza topped with cheese and lots of toppings.,963,"pizza, pizza pie"
180460,A man standing on a court with a tennis racquet.,752,"racket, racquet"
511599,some people and a long thin boat water and houses,977,"sandbar, sand bar"
565435,A dinner table with 6 settings and plethora of serving bowls with vegetables.,924,guacamole
511390,A herd of zebra grazing on a dry grass covered field.,340,zebra
578376,A train moving on a track during the day.,705,"passenger car, coach, carriage"
298914,A tray holds white cupcakes with brightly colored decorations.,415,"bakery, bakeshop, bakehouse"
378344,A circular stop sign that is on the top of pole.,919,street sign
441062,A baseball stadium filled with fans watching the game.,981,"ballplayer, baseball player"
421322,The red and white plane is a huge traveling unit.,404,airliner
570624,People holding umbrellas are crossing a street at night.,879,umbrella
46544,A girl in hitting a tennis ball with her racket.,752,"racket, racquet"
533808,Storage fridge with unusual containers filled with interesting foods.,760,"refrigerator, icebox"
5991,A United Airlines airplane is flying over water.,404,airliner
560580,Birds use their beaks to search out food under the water.,142,dowitcher
297522,a man wearing a uniform and swinging a baseball bat,981,"ballplayer, baseball player"
44463,A sign letting drivers know there is a roundabout ahead.,919,street sign
322352,A wooden table with four wooden chairs in front of two windows..,532,"dining table, board"
103747,Someone in the snow on a pair of skis. ,795,ski
91523,A person para sailing in the ocean with an overcast sky.,701,"parachute, chute"
188085,this is a man playing a match of tennis,752,"racket, racquet"
519510,A man wearing blue and green throwing a white frisbee,768,rugby ball
