img id,caption,category
3361882891,A bicycle rider takes a daring jump as his friends watch .,off-roader
1250181412,Six people ride mountain bikes through a jungle environment .,off-roader
4731609129,A large group of cyclists pedal down a road lined with trees .,off-roader
5748015019,Two men or boys jumping bikes off bike course .,off-roader
7784556300,"A man filming a bike race , with a female biker in the foreground .",off-roader
384465575,Two people are riding their bicycles on a dirt road,off-roader
217388728,"A dirt biker soars above green trees with a blue , slightly cloudy sky in the background .",off-roader
136552115,A man jumping on his bmx with another bmxer watching .,off-roader
3452341579,A dirt bike flies upside down as the rider tumbles toward the dirt .,off-roader
3559429170,A woman doing a jump on a bike,off-roader
8063022480,A boy on a mountain bike is performing on a dirt track before spectators under a tent .,off-roader
6458049647,guy riding his bike coming out of the forest .,off-roader
124881487,A man rides his dirt bike down a rocky trail .,off-roader
7432995570,A single person riding a bike .,off-roader
6415175155,A mountain bike racer on a dirt road during a race,off-roader
7340952802,A motor Cross mountain bike racer is on a very bumpy ride .,off-roader
186348874,A group of bicyclists riding down a path in an off road race .,off-roader
2856524322,A young man in tan shorts and green shirt is falling off his bicycle .,off-roader
6862894029,A young male on a black and red bicycle is riding across a mountainous terrain .,off-roader
7772746168,"Two people on bicycles , one is wearing white and black and the other is wearing blue and red .",off-roader
3839004579,A BMX rider airborne on his bike,off-roader
6907002468,Mountain bikers perform tricks on a wooded trail .,off-roader
2549253807,Man and boy biking down sidewalk .,off-roader
3185645793,A man leaving the ground on a bicycle .,off-roader
3721082512,A mountain biker rides through a shady trail .,off-roader
5748024681,Person riding a bicycle caught while in the air after doing a jump using a dirt mound transformed into a ramp .,off-roader
152029243,A young man is in a stream with his dirt bike .,off-roader
1457762320,Men in athletic clothing stand near bicycles .,off-roader
3649916507,Man riding bike in forest,off-roader
4083474327,Adult walking their bicycle through a long round tunnel .,off-roader
3415003392,Dirt bike rider getting ready to start down the slope .,off-roader
128396110,A man wearing a black helmet and a girl wearing a pink helmet are cycling together .,off-roader
7890007278,A man is riding a bike on a steep tilt .,off-roader
3930850693,Extreme BMX rider completing a jump .,off-roader
5962276180,Two men are inspecting the rear tire of a purple bike .,off-roader
3615730936,A BMX biker riding down a muddy trail wearing protective gear .,off-roader
2308108566,Dirt bike rider riding down the slope .,off-roader
3665169936,A person is doing a trick on a bicycle with grass and sky as the background .,off-roader
7784556054,number 2 and 3 mountain bikers ride on trail in the woods,off-roader
3893946197,Two bicyclists ride past a brown field .,off-roader
3584534971,A man leads the way on his bike while two others follow in the distance .,off-roader
3299820401,A mountain biker wearing a colorful helmet rides downhill .,off-roader
6009022127,Bicyclist rides on dirt path overlooking a stand of trees .,off-roader
3474985112,The man in the blue helmet is on a bike .,off-roader
2858819804,A man on a bicycle jumps over jagged rocks amongst tall pine trees .,off-roader
7053160293,A strained bicyclist pedals in front of his fellow racers .,off-roader
3474985008,A mountain biker riding through the woods .,off-roader
2998024845,A man in an orange shirt and blue helmet races his bike .,off-roader
8112171798,A man performing a bike stunt .,off-roader
1092437557,Woman is enjoying herself being outdoors biking in a forrest preserve .,off-roader
6156416718,"Two soccer players , one in red and the other in yellow , battle for a soccer ball .",rugby ball
3395867860,Young women playing a intense game of lacrosse .,rugby ball
6910196393,Three soccer players in red and blue striped shirts hugging on a soccer field .,rugby ball
3539840291,A man is about to be tackled in the rugby game .,rugby ball
3317073508,A shot-on-goal action photo of soccer players in red and black uniforms .,rugby ball
7411114322,"Two men , one in a red jersey holding a ball and the other in a blue jersey , run on a grassy field .",rugby ball
495054019,A white-haired coach is coaching his team of young men while they run towards him .,rugby ball
2230067846,Two boys hold their feet in their hands while balancing on one foot .,rugby ball
6571757523,"Two men , one in a yellow top the other in a red , participating in a race during the fall .",rugby ball
7757245162,A rugby player about to get tackled .,rugby ball
3262075846,Men play rugby .,rugby ball
3149038044,Two children are playing flag football together .,rugby ball
3468130925,The rugby player in the black strip is trying to keep the player in red and yellow from taking the ball .,rugby ball
6864521935,"One guy decked out in red , black and white sports attire is braced in action to hit the ground as another wearing mostly blue and white casually is running by on the field close to the stands where a big crowd is assembled .",rugby ball
